央视-河南电信,#genre#
CCTV1,http://219.150.217.47:6610/PLTV1/40/index.m3u8?icpid=dxrm1
CCTV1,http://219.150.217.47:6610/PLTV1/940/index.m3u8?icpid=dxrm1
CCTV2,http://219.150.217.47:6610/PLTV1/60/index.m3u8?icpid=dxrm1
CCTV3,http://219.150.217.47:6610/PLTV1/80/index.m3u8?icpid=dxrm1
CCTV4,http://219.150.217.47:6610/PLTV1/100/index.m3u8?icpid=dxrm1
CCTV5,http://219.150.217.47:6610/PLTV2/3680/index.m3u8?icpid=dxrm1
CCTV5,http://219.150.217.47:6610/PLTV1/120/index.m3u8?icpid=dxrm1
CCTV6,http://219.150.217.47:6610/PLTV1/140/index.m3u8?icpid=dxrm1
CCTV7,http://219.150.217.47:6610/PLTV1/160/index.m3u8?icpid=dxrm1
CCTV8,http://219.150.217.47:6610/PLTV1/180/index.m3u8?icpid=dxrm1
CCTV9,http://219.150.217.47:6610/PLTV1/200/index.m3u8?icpid=dxrm1
CCTV10,http://219.150.217.47:6610/PLTV1/220/index.m3u8?icpid=dxrm1
CCTV11,http://219.150.217.47:6610/PLTV1/240/index.m3u8?icpid=dxrm1
CCTV12,http://219.150.217.47:6610/PLTV1/260/index.m3u8?icpid=dxrm1
CCTV13,http://219.150.217.47:6610/PLTV1/280/index.m3u8?icpid=dxrm1
CCTV14,http://219.150.217.47:6610/PLTV1/300/index.m3u8?icpid=dxrm1
CCTV15,http://219.150.217.47:6610/PLTV1/320/index.m3u8?icpid=dxrm1
CCTV5+,http://219.150.217.47:6610/PLTV1/380/index.m3u8?icpid=dxrm1
CCTV5+,http://222.85.25.226/PLTV/88888888/224/3221227220/1.m3u8
CCTV17,http://219.150.217.47:6610/PLTV1/360/index.m3u8?icpid=dxrm1
CCTV17,http://222.85.25.226/PLTV/88888888/224/3221227072/1.m3u8
CETV1,http://219.150.217.47:6610/PLTV1/400/index.m3u8?icpid=dxrm1
CGTN,http://219.150.217.47:6610/PLTV1/340/index.m3u8?icpid=dxrm1
卫视-河南电信,#genre#
河南卫视,http://219.150.217.47:6610/PLTV1/580/index.m3u8?icpid=dxrm1
河南卫视,http://222.85.25.226/PLTV/88888888/224/3221226984/1.m3u8
东方卫视,http://219.150.217.47:6610/PLTV1/980/index.m3u8?icpid=dxrm1
江苏卫视,http://219.150.217.47:6610/PLTV1/1000/index.m3u8?icpid=dxrm1
湖南卫视,http://219.150.217.47:6610/PLTV1/1220/index.m3u8?icpid=dxrm1
北京卫视,http://219.150.217.47:6610/PLTV1/1020/index.m3u8?icpid=dxrm1
浙江卫视,http://219.150.217.47:6610/PLTV1/960/index.m3u8?icpid=dxrm1
广东卫视,http://219.150.217.47:6610/PLTV1/1040/index.m3u8?icpid=dxrm1
深圳卫视,http://219.150.217.47:6610/PLTV1/1240/index.m3u8?icpid=dxrm1
安徽卫视,http://219.150.217.47:6610/PLTV1/1100/index.m3u8?icpid=dxrm1
安徽卫视,http://222.85.25.226/PLTV/88888888/224/3221227017/1.m3u8
山东卫视,http://219.150.217.47:6610/PLTV1/1080/index.m3u8?icpid=dxrm1
东南卫视,http://219.150.217.47:6610/PLTV1/1400/index.m3u8?icpid=dxrm1
甘肃卫视,http://219.150.217.47:6610/PLTV1/1500/index.m3u8?icpid=dxrm1
广西卫视,http://219.150.217.47:6610/PLTV1/1440/index.m3u8?icpid=dxrm1
贵州卫视,http://219.150.217.47:6610/PLTV1/1160/index.m3u8?icpid=dxrm1
海南卫视,http://219.150.217.47:6610/PLTV1/1480/index.m3u8?icpid=dxrm1
河北卫视,http://219.150.217.47:6610/PLTV1/1180/index.m3u8?icpid=dxrm1
黑龙江卫视,http://219.150.217.47:6610/PLTV1/1060/index.m3u8?icpid=dxrm1
